,session_no,Member_name,Days_attended
235,230,shri pramod tiwari,  3
236,230,smt. kanak lata singh,  3
237,230,dr. manmohan singh,  PM
238,230,smt. ambika soni,  9
239,230,shri rajeev shukla,  M
240,230,shri  anand sharma,  M
241,230,shri murli deora,  10
242,230,prof. saif-ud-din soz,  10
243,230,smt. mohsina kidwai, 10
244,230,shri rishang keishing,  9
245,230,dr. k. chiranjeevi,  M
246,230,shri janardan dwivedi,  10
247,230,shri praveen rashtrapal,  8
248,230,chaudhary birender singh,  10
249,230,shri narendra budania,  3
250,230,dr. prabha thakur,  10
251,230,prof. alka  balram kshatriya,  10
252,230,shri parvez hashmi,  10
253,230,shri  ashk ali tak,  9
254,230,shri shadi lal batra,  10
255,230,shri palvai govardhan reddy,  10
256,230,shri p. kannan, 5
257,230,smt. naznin faruque,  9
258,230,shri a.k. antony,  M
259,230,shri k. rahman khan, M
260,230,shri ghulam nabi azad,  M
261,230,dr.  karan singh,  10
262,230,shri s.m. krishna, 3
263,230,shri vayalar ravi,  M
264,230,shri jairam ramesh, M
265,230,shri g.k. vasan,  M
266,230,shri ahmed patel,  4
267,230,shri  ashwani kumar,  10
268,230,shri oscar fernandes, M
269,230,dr. m.s. gill,  9
270,230,dr. t. subbarami reddy,  5
271,230,shri mani shankar aiyar,9
272,230,smt. jayanthi natarajan,  M
273,230,shri satyavrat chaturvedi,  10
274,230,shri bhubaneswar kalita,  10
275,230,shri  nandi yellaiah,  10
276,230,shri  mukut mithi,  9
277,230,shri satish sharma,  10
278,230,shri b.k. hariprasad, 7
279,230,smt. renuka chowdhury,  7
280,230,dr. e.m. sudarsana natchiappan,  M
281,230,shri shantaram naik, 10
282,230,shri vijay jawaharlal darda,  3
283,230,shri rama chandra khuntia,  7
284,230,dr.  ram prakash,  8
285,230,shri v. hanumantha rao,  9
286,230,shri jesudasu seelam,  M
287,230,shri mohammad shafi,  9
288,230,dr. vijaylaxmi sadho,  10
289,230,smt. rajani ashokrao patil,  10
290,230,shri ishwar singh,  10
291,230,shri mohd. ali khan,  10
292,230,dr. bhalchandra mungekar,8
293,230,shri husain dalwai,  8
294,230,dr. abhishek manu singhvi,  4
295,230,dr. k.v.p. ramachandra rao,  5
296,230,shri dhiraj prasad sahu, 8
297,230,shri p. bhattacharya,  6
298,230,smt. t. ratna bai,  9
299,230,smt. wansuk syiem, 10
300,230,shri santiuse kujur,  10
301,230,shri ananda bhaskar rapolu,  10
302,230,shri mahendra singh mahra, 10
303,230,shri pankaj bora,  10
304,230,shri avinash pande,  4
305,230,dr. pradeep kumar balmuchu, 10
306,230,shri  sanjiv kumar, 8
307,230,shri biswajit daimary,  9
308,230,shri joy abraham,  10
309,230,shri motilal vora, 10
310,230,shri mukul roy,  4
311,230,dr. v. maitreyan,  10
312,230,shri  tariq anwar,  M
313,230,shri sukhendu sekhar ray,  8
314,230,shri d. raja,  9
315,230,shri devender goud t.,  10
316,230,smt.  kanimozhi,  6
317,230,dr. yogendra p. trivedi,  7
318,230,shri derek o' brien,  8
319,230,dr. k.p. ramalingam,  8
320,230,shri prem chand gupta,  9
321,230,shri shyamal chakraborty,  9
322,230,dr.  mahendra prasad,  10
323,230,shri ram vilas paswan,  6
324,230,dr. c.m. ramesh,  9
325,230,shri d.p. tripathi,  10
326,230,shri k.c. tyagi,  8
327,230,shri tarini kanta roy,  8
328,230,dr. kanwar deep singh,  10
329,230,shri h.k. dua,9
330,230,ms. anu aga,8
331,230,ms.  rekha,1
332,230,dr. ashok s. ganguly,10
333,230,shri javed akhtar,1
334,230,shri sachin ramesh tendulkar,1
335,230,dr. vijay mallya, 1
336,230,shri ram kripal yadav,  10
337,230,dr. janardhan waghmare,  10
338,230,smt. vasanthi stanley,  8
339,230,shri t.m. selvaganapathi,  4
340,230,smt. b. jayashree,4
341,230,*shri k. parasaran,5
342,230,prof. mrinal miri,8
343,230,shri d. bandyopadhyay,  9
344,230,shri srinjoy bose,  4
345,230,shri khekiho zhimomi,  1
346,230,smt. vandana chavan,  9
347,230,shri ishwarlal shankarlal jain,  7
348,230,shri y. s. chowdary,  10
349,230,shri hishey lachungpa,  3
350,230,shri s. thangavelu,  10
351,230,shri a.a. jinnah,  10
352,230,shri g. n. ratanpuri,  10
353,230,shri mohammed adeeb,  10
354,230,shri md. nadimul haque,  8
355,230,shri vivek gupta,  7
356,230,*shri sitaram yechury,  8
357,230,prof. ram gopal yadav,  9
358,230,shri shivanand tiwari,  10
359,230,km.  mayawati,  10
360,230,shri prasanta chatterjee,  10
361,230,shri naresh agrawal,  10
362,230,*shri shashi bhusan behera,  8
363,230,shri satish chandra misra,  8
364,230,shri n. k. singh,  10
365,230,shri tapan kumar sen,  8
366,230,shri kiranmay nanda,  10
367,230,shri ali  anwar ansari,  8
368,230,dr. akhilesh das gupta,  9
369,230,shri veer singh,  10
370,230,shri brajesh pathak,  10
371,230,shri t.k. rangarajan,  6
372,230,shri p. rajeeve,  10
373,230,smt. jaya bachchan,  8
374,230,shri  mangala kisan,  4
375,230,shri munquad ali,  8
376,230,shri  rajaram,  9
377,230,shri sanjay raut,  9
378,230,dr. barun mukherji,  10
379,230,shri bashistha narain singh,  9
380,230,shri k.n. balagopal,  10
381,230,smt. jharna das baidya,  9
382,230,smt. renubala pradhan,  2
383,230,shri rajeev chandrasekhar, 9
384,230,prof. s.p.singh baghel,  10
385,230,shri brijlal khabri,  10
386,230,shri pyarimohan mohapatra,  3
387,230,shri darshan singh yadav,  10
388,230,shri ram chandra prasad singh,  6
389,230,shri parimal nathwani,  4
390,230,shri amar singh,  9
391,230,shri ram jethmalani,  8
392,230,smt. gundu sudharani,  8
393,230,shri jugul kishore,  8
394,230,shri avtar singh karimpuri,  10
395,230,shri ambeth rajan,  10
396,230,shri ahmad saeed malihabadi,  9
397,230,shri sabir ali,  6
398,230,shri c.p. narayanan,  10
399,230,dr. t.n. seema,  10
400,230,shri m.p. achuthan,  10
401,230,shri alok tiwari,  10
402,230,shri arvind kumar singh,  10
403,230,chaudhary munvvar saleem,  9
404,230,shri salim ansari,  10
405,230,shri rajpal singh saini,  10
406,230,shri narendra kumar kashyap,  9
407,230,dr. najma a. heptulla,  9
408,230,shri m. venkaiah naidu,  6
409,230,shri  shanta kumar,  10
410,230,shri ravi shankar prasad,  9
411,230,shri m. rama jois, 9
412,230,shri thaawarchand gehlot,  10
413,230,dr. c.p. thakur,  10
414,230,shri vinay katiyar,  8
415,230,shri mukhtar abbas naqvi, 8
416,230,shri paul manoj pandian,  1
417,230,shri dharmendra pradhan,  8
418,230,shri balbir punj,  9
419,230,shri v.p. singh badnore,  9
420,230,shri jagat prakash nadda,  8
421,230,shri birendra prasad baishya,  10
422,230,sardar sukhdev singh dhindsa,  6
423,230,shri n. balaganga,  9
424,230,shri avinash rai khanna,  10
425,230,shri kaptan singh solanki,  8
426,230,shri parshottam rupala,  9
427,230,shri prabhat jha,  6
428,230,shri rajkumar dhoot,  8
429,230,sardar balwinder singh bhunder,  5
430,230,shri naresh gujral,  9
431,230,shri shivpratap singh, 2
432,230,shri piyush goyal,  8
433,230,shri raghunandan sharma,  8
434,230,smt. kusum rai,  9
435,230,shri anil madhav dave,  2
436,230,shri baishnab parida,  10
437,230,dr. anil kumar sahani,  7
438,230,shri t. rathinavel,  8
439,230,shri a. w. rabi bernard,  9
440,230,dr. bharatkumar raut,  10
441,230,shri  lalhming liana,  3
442,230,shri  rangasayee ramakrishna, 10
443,230,shri dilipbhai pandya,  6
444,230,dr. bhushan lal jangde, 7
445,230,smt. bimla kashyap sood,  10
446,230,shri a.v. swamy,  10
447,230,shri dilip kumar tirkey,  8
448,230,shri rabinarayan mohapatra,  10
449,230,dr. r. lakshmanan,  10
450,230,shri k. r. arjunan,  9
451,230,shri ranbir singh parjapati,  8
452,230,shri anil desai,  10
453,230,shri ajay sancheti,  5
454,230,shri arun jaitley,  LOP
455,230,prof. p.j. kurien,  HDC
456,230,smt. maya singh,  6
457,230,shri bhagat singh koshyari, 5
458,230,shri rajiv pratap rudy,  9
459,230,shri faggan singh kulaste,  10
460,230,dr. chandan mitra,  9
461,230,shri nand kumar sai, 1
462,230,shri prakash javadekar,  10
463,230,shri om prakash mathur,  6
464,230,dr. prabhakar kore, 3
465,230,smt. smriti zubin irani,  5
466,230,shri natuji halaji thakor,  5
467,230,shri bharatsinh prabhatsinh parmar,  6
468,230,shri aayanur manjunatha, 8
469,230,shri tarun vijay, 8
470,230,shri jai prakash narayan singh, 10
471,230,shri basawaraj patil, 10
472,230,shri bhupender yadav,  6
473,230,dr. gyan prakash pilania,  9
474,230,shri shankarbhai n. vegad,  8
475,230,*dr. mansukh mandaviya,  7
476,230,,
477,220,dr. manmohan singh,  PM
478,220,smt. ambika soni,  M
479,220,shri prithviraj chavan,  M
480,220,shri  anand sharma,  26
481,220,shri murli deora,  M
482,220,prof. saif-ud-din soz,  26
483,220,smt. mohsina kidwai, 23
484,220,shri rishang keishing,  25
485,220,shri janardan dwivedi,  26
486,220,ms. sushila tiriya,  24
487,220,shri rajeev shukla,  25
488,220,shri narendra budania,  26
489,220,*dr. prabha thakur,  25
490,220,smt. viplove thakur,  26
491,220,prof. alka  balram kshatriya,  25
492,220,shri silvius condpan,  26
493,220,shri praveen rashtrapal,  24
494,220,shri parvez hashmi,  26
495,220,shri shadi lal batra,  26
496,220,shri p. kannan, 6
497,220,smt. naznin faruque,  20
498,220,shri a.k. antony,  M
499,220,shri s.m. krishna, M
500,220,shri ghulam nabi azad,  M
501,220,dr.  karan singh,  25
502,220,shri arjun singh,  8
503,220,shri vayalar ravi,  M
504,220,dr. m.s. gill,  M
505,220,shri g.k. vasan,  M
506,220,shri ahmed patel,  19
507,220,prof. p.j. kurien,  20
508,220,shri oscar fernandes, 23
509,220,shri jairam ramesh, M
510,220,shri mani shankar aiyar,23
511,220,smt. jayanthi natarajan,  7
512,220,shri  nandi yellaiah,  20
513,220,shri bhubaneswar kalita,  23
514,220,ms. mabel rebello, 24
515,220,shri  ashwani kumar,  24
516,220,shri satish sharma,  26
517,220,dr. t. subbarami reddy,  21
518,220,shri satyavrat chaturvedi,  25
519,220,dr. e.m. sudarsana natchiappan,  26
520,220,shri  mukut mithi,  25
521,220,*shri vijay jawaharlal darda,  14
522,220,shri rama chandra khuntia,  22
523,220,shri raashid alvi,  26
524,220,shri v. hanumantha rao,  20
525,220,dr. dasari narayana rao,  2
526,220,shri g. sanjeeva reddy,  19
527,220,shri b. s. gnanadesikan,  9
528,220,dr.  ram prakash,  25
529,220,dr. k. keshava rao,  22
530,220,chaudhary birender singh,  22
531,220,shri shantaram naik, 26
532,220,*dr. abhishek manu singhvi,  4
533,220,shri jesudasu seelam,  25
534,220,dr. ram dayal munda,23
535,220,shri mohammad shafi,  19
536,220,smt. t. ratna bai,  26
537,220,dr. vijaylaxmi sadho,  26
538,220,shri anil h. lad, 18
539,220,shri ishwar singh,  26
540,220,shri mohd. ali khan,  26
541,220,shri dhiraj prasad sahu, 24
542,220,shri avinash pande,  23
543,220,shri  ashk ali tak,  25
544,220,dr. k.v.p. ramachandra rao,  25
545,220,shri biswajit daimary,  15
546,220,shri swapan sadhan bose,  3
547,220,dr. n. janardhana reddy,  23
548,220,shri motilal vora, 25
549,220,shri  tariq anwar,  15
550,220,shri mukul roy,  M
551,220,shri prem chand gupta,  25
552,220,shri d. raja,  26
553,220,shri mohan singh,  26
554,220,smt. brinda karat,  23
555,220,shri jabir husain,  26
556,220,smt.  kanimozhi,  17
557,220,shri  moinul hassan,  20
558,220,shri shyamal chakraborty,  12
559,220,dr.  mahendra prasad,  17
560,220,shri rajniti prasad,  23
561,220,shri ram vilas paswan,  24
562,220,dr. yogendra p. trivedi,  15
563,220,dr. k.p. ramalingam,  23
564,220,*shri  mangala kisan,  14
565,220,shri tarini kanta roy,  21
566,220,shri tapan kumar sen,  22
567,220,shri h.k. dua,25
568,220,smt. shobhana bhartia,25
569,220,shri shyam benegal,19
570,220,*dr. ashok s. ganguly,18
571,220,shri javed akhtar,9
572,220,prof. m.s. swaminathan,20
573,220,*dr.(smt.) kapila vatsyayan,20
574,220,dr. vijay mallya, 20
575,220,sardar tarlochan singh,  3
576,220,shri ram kripal yadav,  18
577,220,dr. janardhan waghmare,  25
578,220,smt. vasanthi stanley,  17
579,220,shri t.m. selvaganapathi,  21
580,220,smt. b. jayashree,20
581,220,dr. bhalchandra mungekar,22
582,220,dr. barun mukherji,  26
583,220,shri khekiho zhimomi,  18
584,220,smt. renubala pradhan,  18
585,220,shri o.t. lepcha,  17
586,220,shri thomas sangma, 24
587,220,shri ishwarlal shankarlal jain,  20
588,220,shri ranjitsinh vijaysinh mohite-patil,  15
589,220,shri s. thangavelu,  23
590,220,shri a.a. jinnah,  26
591,220,shri g. n. ratanpuri,  24
592,220,shri mohammed adeeb,  25
593,220,shri mahmood a. madani,  8
594,220,shri r.c. singh,  24
595,220,shri sitaram yechury,  24
596,220,shri pyarimohan mohapatra,  22
597,220,shri shivanand tiwari,  14
598,220,shri satish chandra misra,  24
599,220,shri prasanta chatterjee,  24
600,220,prof. ram gopal yadav,  15
601,220,shri n. k. singh,  21
602,220,shri brajesh pathak,  25
603,220,dr. v. maitreyan,  23
604,220,shri mohammed amin,  20
605,220,shri kishore kumar mohanty,  24
606,220,shri ali  anwar ansari,  16
607,220,dr. akhilesh das gupta,  16
608,220,shri  rajaram,  23
609,220,shri veer singh,  24
610,220,shri t.k. rangarajan,  15
611,220,shri p. rajeeve,  21
612,220,shri  mahendra mohan,  21
613,220,prof. s.p.singh baghel,  26
614,220,shri naresh agrawal,  24
615,220,shri m.v. mysura reddy,  26
616,220,shri sanjay raut,  19
617,220,shri abani roy,  24
618,220,shri syed azeez pasha,  26
619,220,shri k.n. balagopal,  21
620,220,shri rasheed masood,  14
621,220,shri  nandamuri harikrishna,  2
622,220,shri jai prakash,  21
623,220,shri  ganga charan,  21
624,220,shri brijlal khabri,  23
625,220,shri saman pathak,  25
626,220,shri m. rajasekara murthy, 22
627,220,shri parimal nathwani,  4
628,220,shri amar singh,  8
629,220,*shri rajeev chandrasekhar, 20
630,220,shri munquad ali,  16
631,220,shri jugul kishore,  22
632,220,shri avtar singh karimpuri,  26
633,220,shri ambeth rajan,  26
634,220,shri ahmad saeed malihabadi,  25
635,220,shri sabir ali,  17
636,220,smt. jharna das baidya,  25
637,220,dr. t.n. seema,  23
638,220,shri m.p. achuthan,  25
639,220,shri k.e. ismail,  4
640,220,shri veer pal singh yadav,  25
641,220,shri salim ansari,  26
642,220,shri pramod kureel,  17
643,220,shri rajpal singh saini,  26
644,220,shri narendra kumar kashyap,  26
645,220,dr. manohar joshi,  21
646,220,shri m. venkaiah naidu,  15
647,220,shri  shanta kumar,  21
648,220,shri s.s. ahluwalia, 25
649,220,shri m. rama jois, 22
650,220,shri ram jethmalani,  17
651,220,shri vikram verma,  25
652,220,dr. c.p. thakur,  10
653,220,shri balavant alias bal apte,  19
654,220,shri ravi shankar prasad,  19
655,220,shri paul manoj pandian,  25
656,220,shri mukhtar abbas naqvi, 25
657,220,shri balbir punj,  23
658,220,shri vinay katiyar,  24
659,220,shri kalraj mishra,  24
660,220,shri birendra prasad baishya,  26
661,220,sardar sukhdev singh dhindsa,  18
662,220,shri n. balaganga,  22
663,220,shri nand kumar sai, 24
664,220,miss anusuiya uikey,  23
665,220,shri parshottam rupala,  17
666,220,shri prabhat jha,  17
667,220,shri rajkumar dhoot,  10
668,220,sardar balwinder singh bhunder,  23
669,220,shri upendra kushwaha,  12
670,220,shri shivpratap singh, 16
671,220,shri v.p. singh badnore,  18
672,220,shri raghunandan sharma,  22
673,220,smt. kusum rai,  23
674,220,shri rudra narayan pany,  22
675,220,shri kumar deepak das,  26
676,220,dr. anil kumar sahani,  13
677,220,shri a. elavarasan,  19
678,220,dr. bharatkumar raut,  25
679,220,shri naresh gujral,  26
680,220,shri  lalhming liana,  25
681,220,shri surendra motilal patel,  22
682,220,shri piyush goyal,  24
683,220,shri anil madhav dave,  24
684,220,shri kaptan singh solanki,  23
685,220,*shri shashi bhusan behera,  22
686,220,shri baishnab parida,  26
687,220,shri ranbir singh parjapati,  11
688,220,shri y. s. chowdary,  26
689,220,smt. gundu sudharani,  19
690,220,shri k.v. ramalingam,  22
691,220,shri ram chandra prasad singh,  17
692,220,dr. kanwar deep singh,  23
693,220,smt. bimla kashyap sood,  22
694,220,shri arun jaitley,  LOP
695,220,shri k. rahman khan, HDC
696,220,smt. maya singh,  25
697,220,shri bhagat singh koshyari, 23
698,220,shri rajiv pratap rudy,  24
699,220,shri ramdas agarwal,  14
700,220,dr. chandan mitra,  21
701,220,shri vijaykumar rupani,  16
702,220,shri prakash javadekar,  23
703,220,shri om prakash mathur,  20
704,220,shri avinash rai khanna,  25
705,220,shri k.b. shanappa, 24
706,220,shri shreegopal vyas, 26
707,220,shri aayanur manjunatha, 18
708,220,shri tarun vijay, 24
